ticker,name,sector
BBCA.JK,Bank Central Asia,Banking
BBRI.JK,Bank Rakyat Indonesia,Banking
BMRI.JK,Bank Mandiri,Banking
BBNI.JK,Bank Negara Indonesia,Banking
TLKM.JK,Telkom Indonesia,Telecommunication
ASII.JK,Astra International,Automotive
UNVR.JK,Unilever Indonesia,Consumer Goods
ICBP.JK,Indofood CBP,Consumer Goods
INDF.JK,Indofood Sukses Makmur,Consumer Goods
KLBF.JK,Kalbe Farma,Pharmaceutical
GGRM.JK,Gudang Garam,Tobacco
HMSP.JK,HM Sampoerna,Tobacco
SMGR.JK,Semen Indonesia,Cement
INTP.JK,Indocement Tunggal Prakarsa,Cement
PGAS.JK,Perusahaan Gas Negara,Energy
ANTM.JK,Aneka Tambang,Mining
ADRO.JK,Adaro Energy,Mining
ITMG.JK,Indo Tambangraya Megah,Mining
PTBA.JK,Bukit Asam,Mining
UNTR.JK,United Tractors,Heavy Equipment
EXCL.JK,XL Axiata,Telecommunication
ISAT.JK,Indosat Ooredoo,Telecommunication
JSMR.JK,Jasa Marga,Infrastructure
WIKA.JK,Wijaya Karya,Construction
WSKT.JK,Waskita Karya,Construction
ACES.JK,Ace Hardware Indonesia,Retail
MAPI.JK,Mitra Adiperkasa,Retail
ERAA.JK,Erajaya Swasembada,Retail
CPIN.JK,Charoen Pokphand Indonesia,Agriculture
JPFA.JK,Japfa Comfeed Indonesia,Agriculture
